"","Col_Shade_1_replicate1","Col_Shade_1_replicate2","Col_Sun_1_replicate1","Col_Sun_1_replicate2","Col_Shade_4_replicate1","Col_Shade_4_replicate2","Col_Sun_4_replicate1","Col_Sun_4_replicate2"
"AT5G43990",12.5455695803184,19.5430685874637,19.6751320687614,21.7700643239481,11.1324878793858,20.3448007000942,18.5243913578919,18.5190743040473
"AT5G44000",31.1476210269975,37.9365449050766,26.1504919901259,24.0028914340966,33.3974636381575,31.3891210801454,30.4329286593939,34.4264842831649
"AT5G44005",1.51412046659016,3.16137874208972,1.99241843734293,1.67462033261139,2.56903566447365,3.19704011001481,4.63109783947298,2.37424029539068
"AT5G44010",4.10975555217328,2.01178647223891,6.97346453070025,4.46565422029704,6.85076177192974,3.48768012001616,3.96951243383399,3.56136044308602
"AT5G44020",219.763770579371,306.941136050165,252.539036933216,231.655812677909,239.776662017541,244.428248411132,262.428877570136,274.699602176702
"AT5G44030",13.84338712311,10.63372849612,7.72062144470385,11.1641355507426,19.695940094298,10.4630403600485,17.6422774837066,14.4828658018831
"AT5G44040",36.771497045761,26.1532241391058,35.8635318721727,35.7252337623763,30.8284279736838,28.4827209801319,33.5203272190426,35.1387563717821
"AT5G44050",3.02824093318032,2.87398067462701,10.4601967960504,6.69848133044556,5.99441655043853,2.32512008001077,1.76422774837066,11.8712014769534
"AT5G44060",8.43581402814516,10.63372849612,10.7092491007182,15.9088931598082,15.4142139868419,13.9507204800646,13.893293518419,15.9074099791176
"AT5G44065",0,0,0.249052304667866,0,0,0,0,0.237424029539068
"AT5G44070",39.3671321313441,26.7280202740312,24.9052304667866,27.3521320993194,53.9497489539467,65.6846422603043,62.8506135357048,58.1688872370717
"AT5G44080",22.7118069988524,23.8540395994042,15.1921905847398,18.9790304362624,17.1269044298244,21.5073607400996,20.7296760433553,20.893314599438
"AT5G44090",36.5551941219624,25.003631869255,40.0974210515265,33.7715100409964,53.0934037324555,45.6304815702114,36.8282542472375,40.8369330807197
"AT5G44100",47.1540373880935,45.6962927265695,56.5348731596056,48.8430930344989,65.9385820548238,61.0344021002827,55.3526456051295,75.9756894525018
"AT5G44110",10.8151461899297,10.3463304286573,10.4601967960504,7.25668810798269,9.4197974364034,9.88176034004578,12.570122707141,15.6699859495785
"AT5G44120",0.216302923798594,0,0,0,0,0,0,0.237424029539068
"AT5G44130",69.0006326917515,76.1604878776159,46.3237286682231,66.4266065269185,100.192390914473,75.2757625903487,61.0863857873341,94.0199156974709
"AT5G44140",0,0,0,0.279103388768565,0,0.871920030004039,0.220528468546333,0.949696118156272
"AT5G44150",10.3825403423325,10.63372849612,4.98104609335732,6.14027455290843,8.56345221491218,3.19704011001481,9.04166721039964,11.3963534178753
"AT5G44160",1.08151461899297,0.574796134925403,0.249052304667866,0.837310166305695,5.13807132894731,2.32512008001077,1.54369927982433,1.18712014769534
"AT5G44170",7.35429940915219,7.47234975403024,11.9545106240576,8.93130844059408,5.99441655043853,9.88176034004578,13.0111796442336,7.12272088617204
"AT5G44180",71.379964853536,70.1251284608991,78.20242366571,73.9623980236697,72.7893438267535,70.6255224303272,85.5650457959771,84.5229545159082
"AT5G44190",96.9037098617701,95.7035564650796,103.107654132497,101.314530122989,41.1045706315785,49.6994417102302,41.0182951496179,38.462692785329
"AT5G44200",51.0474900164682,57.767011560003,47.3199378868946,47.1684727018875,37.6791897456136,40.6896014001885,33.2997987504962,34.901332342243
"AT5G44210",6.70539063775641,2.29918453970161,1.4943138280072,4.46565422029704,4.28172610745609,5.23152018002424,1.98475621691699,1.66196820677348
"AT5G44220",0,0,0,0,0,0,0,0
"AT5G44230",6.27278479015922,7.47234975403024,9.21493527271105,8.65220505182551,4.28172610745609,8.42856029003905,7.71849639912164,9.25953715202365
"AT5G44240",42.611675988323,43.9719043217933,32.6258519114905,31.5386829308478,47.098987182017,46.2117615902141,40.3567097439789,42.2614772579541
"AT5G44250",33.0943473411849,37.0743507026885,21.9166028107722,17.0253067148825,12.8451783223683,22.0886407601023,23.1554891973649,21.130738628977
"AT5G44255",0.432605847597188,0.287398067462701,0,0,0,0.290640010001346,0,0
"AT5G44260",16.2227192848945,4.88576714686592,0.498104609335732,1.11641355507426,20.5522853157892,7.84728027003635,0.661585405638998,1.42454417723441
"AT5G44265",0,0.287398067462701,0,0,0,0,0,0
"AT5G44270",0.216302923798594,0.287398067462701,0,0,0,0,0,0
"AT5G44280",12.9781754279156,13.2203111032843,12.2035629287254,13.9551694384282,8.56345221491218,10.1724003500471,11.4674803644093,10.9215053587971
"AT5G44283",0,0,0,0,0,0,0,0
"AT5G44286",0.216302923798594,0,0,0,0.856345221491218,0,0.220528468546333,0.474848059078136
"AT5G44290",31.3639239507961,34.2003700280615,34.1201657394977,32.6550964859221,51.3807132894731,40.1083213801858,54.2500032623978,40.8369330807197
"AT5G44300",0,0,0,0,0,0,0,0
"AT5G44306",0,0,0,0,0,0,0,0
"AT5G44310",0,0,0,0.279103388768565,0,0,0,0
"AT5G44313",0,0,0,0,0,0,0,0
"AT5G44316",0,0,0,0,0,0,0,0
"AT5G44320",88.9005016812221,83.9202356991088,93.8927188597855,95.7324623476178,71.9329986052623,74.4038425603447,79.8313056137724,67.6658484186344
"AT5G44330",0,0,0,0,0,0,0,0
"AT5G44340",400.160409027399,329.358185312256,353.903324933038,387.674606999537,429.0289559671,456.014175692112,406.875024467984,396.260705300704
"AT5G44345",0,0,0,0,0,0,0,0
"AT5G44350",0.216302923798594,0,0.747156914003599,0.55820677753713,0,0,0.441056937092665,0.474848059078136
"AT5G44360",0,0,0,0,0,0,0,0
"AT5G44370",13.6270841993114,15.8068937104486,19.1770274594257,12.838755883354,23.1213209802629,13.6600804700633,16.0985782038823,12.5834735655706
"AT5G44375",0,0,0,0,0,0,0,0
"AT5G44380",1.73042339038875,5.17316521432863,4.23388917935372,1.95372372137995,6.85076177192974,4.65024016002154,1.54369927982433,2.37424029539068
"AT5G44390",1.73042339038875,0,0.249052304667866,0.279103388768565,3.42538088596487,2.32512008001077,2.20528468546333,1.66196820677348
"AT5G44400",21.4139894560608,20.6926608573145,31.3805903881511,26.7939253217822,29.1157375307014,35.7487212301656,33.7408556875889,37.9878447262509
"AT5G44410",8.86841987574235,10.3463304286573,10.4601967960504,9.76861860689977,18.8395948728068,17.7290406100821,16.9806920780676,18.2816502745082
"AT5G44415",0,0,0,0,0,0,0,0
